angle,voltage,error in angle,standard dev in voltage,
0,0.130459187,2,0.001969447,1.51%
10,0.0069,2,0.000441869,6.40%
20,0.00074896,2,0.000263274,35.15%
30,0.015924959,2,0.000451488,2.84%
40,0.171700805,2,0.00104923,0.61%
50,0.737030344,2,0.002679833,0.36%
60,1.975311939,2,0.019574078,0.99%
70,3.847615904,2,0.029386987,0.76%
80,6.174879835,2,0.031292549,0.51%
90,8.513119511,2,0.099296761,1.17%
100,10.16383966,2,0.076970768,0.76%
110,10.64695935,2,0.084963192,0.80%
120,9.877919163,2,0.097531818,0.99%
130,8.191119794,2,0.046315771,0.57%
140,5.795279698,2,0.042257834,0.73%
150,3.523919976,2,0.014598396,0.41%
160,1.7174079,2,0.01029182,0.60%
170,0.597167967,2,0.010687356,1.79%
180,0.127151997,2,0.01532739,12.05%
190,0.00684224,2,0.000446578,6.53%
200,0.000394272,2,0.000241744,61.31%
210,0.01365648,2,0.000469972,3.44%
220,0.17224639,2,0.00131091,0.76%
230,0.76023999,2,0.005819135,0.77%
240,1.918327989,2,0.011009266,0.57%
250,3.758527983,2,0.017755953,0.47%
260,6.052607947,2,0.038563135,0.64%
270,8.390639628,2,0.042619091,0.51%
280,9.975759071,2,0.066245111,0.66%
290,10.58463942,2,0.054736317,0.52%
300,9.812079225,2,0.047645244,0.49%
310,8.212319796,2,0.050992288,0.62%
320,5.799167716,2,0.039991311,0.69%
330,3.534751965,2,0.019398395,0.55%
340,1.721439904,2,0.008718184,0.51%
350,0.610115169,2,0.003542569,0.58%
360,0.12274399,2,0.001917515,1.56%
