angle,voltage,error in angle,standard dev in voltage
0,0.130459187,1,0.001969447
10,0.0069,1,0.000441869
20,0.00074896,1,0.000263274
30,0.015924959,1,0.000451488
40,0.171700805,1,0.00104923
50,0.737030344,1,0.002679833
60,1.975311939,1,0.019574078
70,3.847615904,1,0.029386987
80,6.174879835,1,0.031292549
90,8.513119511,1,0.099296761
100,10.16383966,1,0.076970768
110,10.64695935,1,0.084963192
120,9.877919163,1,0.097531818
130,8.191119794,1,0.046315771
140,5.795279698,1,0.042257834
150,3.523919976,1,0.014598396
160,1.7174079,1,0.01029182
170,0.597167967,1,0.010687356
180,0.127151997,1,0.01532739
190,,1,
200,,1,
210,,1,
220,,1,
230,,1,
240,,1,
250,,1,
260,,1,
270,,1,
280,,1,
290,,1,
300,,1,
310,,1,
320,,1,
330,,1,
340,,1,
350,0.610115169,1,0.003542569
360,0.12274399,1,0.001917515
