1.22E+01,2.40E-01,1.22E+01,1.88E-01,Shorthand,AVE ON AXIS,AVE OFF AXIS,P(ON AXIS),ERROR,P(OFF AXIS),ERROR
1.16E+01,2.40E-01,1.15E+01,1.88E-01,"+45,+45",11.5746664,0.16133333,0.986253124,0.037687646,0.013746876,0.017048022
1.10E+01,1.60E-01,1.10E+01,1.08E-01,"+45,0",4.588000023,4.934666677,0.481797817,0.029166418,0.518202183,0.030247523
4.48E+00,4.88E+00,4.43E+00,4.83E+00,"+90,+45",4.87199977,6.241333213,0.438392315,0.023934208,0.561607685,0.027064175
4.56E+00,4.88E+00,4.51E+00,4.83E+00,"+90,0",1.018666665,8.827999797,0.103452947,0.020741653,0.896547053,0.041701259
4.88E+00,5.20E+00,4.83E+00,5.15E+00,"0,+45",0.054666664,8.881333397,0.006117577,0.022383054,0.993882423,0.049801505
4.80E+00,6.08E+00,4.80E+00,6.03E+00,"0,0",5.841333277,4.42800002,0.568813292,0.029498697,0.431186708,0.025717108
4.80E+00,6.16E+00,4.75E+00,6.11E+00,"-45,+45",0.885333093,4.241333213,0.172691773,0.041273017,0.827308227,0.075422408
5.12E+00,6.64E+00,5.07E+00,6.59E+00,"-45,0",9.734666553,0.081333332,0.991714208,0.045257911,0.008285792,0.020377696
8.00E-02,9.76E+00,2.80E-02,9.71E+00,,,,,,,
8.00E-02,8.56E+00,3.00E-02,8.51E+00,,,,,,,
8.00E-02,8.32E+00,2.80E-02,8.27E+00,,Background Voltage,,,,,
1.60E-01,8.72E+00,1.08E-01,8.67E+00,,0.052,,,,,
8.00E-02,9.04E+00,2.80E-02,8.99E+00,,,,,,,
8.00E-02,9.04E+00,2.80E-02,8.99E+00,,Error on Average,,,,,
6.48E+00,4.96E+00,6.43E+00,4.91E+00,,0.2,,,,,
5.44E+00,4.08E+00,5.39E+00,4.03E+00,,,,,,,
5.76E+00,4.40E+00,5.71E+00,4.35E+00,,,,,,,
5.28E+00,4.32E+00,5.23E+00,4.27E+00,,,,,,,
5.36E+00,4.40E+00,5.31E+00,4.35E+00,,,,,,,
5.12E+00,4.16E+00,-7.88E+00,4.11E+00,,,,,,,
9.84E+00,1.60E-01,9.79E+00,1.08E-01,,,,,,,
9.84E+00,8.00E-02,9.79E+00,2.80E-02,,,,,,,
9.68E+00,1.60E-01,9.63E+00,1.08E-01,,,,,,,
