System,P(ON AXIS),ERROR,P(OFF AXIS),ERROR
"Tx 45, Rx 45",0.986253124,0.037687646,0.013746876,0.017048022
"Tx 45, RX 0",0.481797817,0.029166418,0.518202183,0.030247523
"Tx 90, Rx 45",0.438392315,0.023934208,0.561607685,0.027064175
"Tx 90, Rx 0",0.103452947,0.020741653,0.896547053,0.041701259
"Tx -45, Rx 45",0.006117577,0.022383054,0.993882423,0.049801505
"Tx -45, Rx 0",0.568813292,0.029498697,0.431186708,0.025717108
"Tx 0, Rx 45",0.172691773,0.041273017,0.827308227,0.075422408
"Tx 0, Rx 0",0.991714208,0.045257911,0.008285792,0.020377696
,98.6,3.8,1.4,1.7
,48.2,2.9,51.8,3
,43.8,2.4,56.2,2.7
,10.3,2.1,89.7,4.2
,0.6,2.2,99.4,5
,56.9,2.9,43.1,2.6
,17.3,4.1,82.7,7.5
,99.2,4.5,0.8,2
